M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24
0;0;0,254031792;4,709302983;0,037929163;0,007046533;0,137074193;3,805545662;0,525901842;0;0;0,215727482;0;0,089849958;0;0,097008408;4,501937604;0;3,278369597;2,125993208;2,833463658;0;0,00543326;0
0;0;0,254394553;4,554374896;0,037833822;0;0,11493906;3,77657332;0,480994152;0;0;1,81512513;0;0,082365769;0;0;4,378988828;0;2,837387691;3,143804495;3,040916558;0;0;0
0;0;0,282691278;4,478371369;0,020238327;0;0,095874898;3,494301865;0,355831232;0;0;2,017214013;0;0,063480174;0;0;3,911516433;0;1,28813096;2,547389602;2,336508935;0;0;0
1,490659493;0,189170889;2,716992454;0,581458529;0,537250369;0;2,768414118;2,226240863;0,213001681;2,934126458;0,173285516;0;0;0,168500919;0,186439564;0;0;0;0;0;0;0;3,296752007;0
1,011760468;0,089039929;2,415499868;1,445140505;0,417476946;0;3,453557484;1,798608243;0,412903739;3,499635312;0,269290607;0,012113873;0;0,245894548;0,185123092;0;0;0;0;0,053393871;0;0;3,284614104;0,000104339
1,78924197;0,171156632;2,496909775;1,348415004;0,412960399;0;3,666894482;2,6963781;0,712391235;3,919237245;0,373689482;0,033051827;0;0,199700935;0,287226118;0;0;0;0;0,002051801;0;0;3,880858628;0,006492486
1,661074238;0,126947172;1,898433395;0,578724242;0,301816983;0;4,040415996;2,324465003;0,34769788;4,368934675;0,41998904;0,092085711;0;0,175383272;0,286037495;0;0;0;0;0;0;0;4,21434378;0,033689697
1,4431699;0,125981023;1,789390716;1,255256477;0,29695804;0;3,903006893;2,855509281;0,471765595;4,271788783;0,360888008;0,091213234;0;0,189594923;0,340571801;0;0;0;0;0;0;0;4,830849747;0,104746122
1,223369149;0,1883987;2,316614632;0,920821393;0,36016718;0;3,28935445;2,745792498;0,536809262;4,143766966;0,383243951;0,112001545;0;0,36272079;0,479423196;0;0;0;0;0;0;0;5,534438138;2,202926564
1,027392349;0,140173783;2,490525942;0,40842364;0,41847838;0;3,262127099;2,086105947;0,363120069;4,034666345;0,371164151;0,070377407;0;0,262660842;0,343443025;0;0;0;0;0;0;0;5,350322041;0,109589017
0,875912906;0,156657467;2,359982797;0,663214273;0,377347478;0;2,242508222;2,559713107;0,345441279;3,525402296;0,275295793;0,016501055;0;0,301542557;0,387662891;0;0;0;0;0,005556081;0;0;5,119475337;0,115577421
0,992378986;0,094829406;2,656088181;1,254843686;0,654231354;0;3,49019784;2,302752699;0,366634436;3,653415542;0,244688562;0,027046682;0;0,246809355;0,29811012;0;0;0;0;0,044838476;0;0;4,367628254;0,047548196
